title,summary,url
The New York Fed DSGE Model Forecast—March 2022, The authors present an update of the economic forecasts generated by the Federal Reserve Bank of New York’s dynamic stochastic general equilibrium (DSGE) model. They describe their forecast and its change since December 2021.,https://libertystreeteconomics.newyorkfed.org/2022/03/the-new-york-fed-dsge-model-forecastmarch-2022/
Global Supply Chain Pressure Index: March 2022 Update," Supply chain disruptions continue to be a major challenge. In January, the authors presented the Global Supply Chain Pressure Index (GSCPI) as a parsimonious global measure that encompasses several indicators used to capture supply chain disruptions. This post shows that the GSCPI, from November to February, points to an easing in global supply chain pressures even though they remain at very high levels historically. These data are used to create country-specific supply chain pressure indices.",https://libertystreeteconomics.newyorkfed.org/2022/03/global-supply-chain-pressure-index-march-2022-update/
Disinflation Policies with a Flat Phillips Curve, The authors use the New York Fed DSGE model to study how alternative monetary policy strategies might contribute to bringing inflation back down to 2 percent. Their main finding is that there is no monetary silver bullet. Due to a flat Phillips curve—a well-documented feature of the economic environment of the last three decades—monetary policy can only achieve faster disinflation at a considerable cost in terms of forgone economic activity. This is true regardless of the systematic approach followed by the central bank in the model to pursue its objective.,https://libertystreeteconomics.newyorkfed.org/2022/03/disinflation-policies-with-a-flat-phillips-curve/
Drivers of Inflation: The New York Fed DSGE Model’s Perspective," After a sharp decline in the first few months of the COVID-19 pandemic, inflation rebounded in the second half of 2020 and surged throughout 2021. This post analyzes the drivers of these developments through the lens of the New York Fed DSGE model. Its main finding is that the recent rise in inflation is mostly accounted for by a large cost-push shock that occurred in the second quarter of 2021 and whose inflationary effects persist today.",https://libertystreeteconomics.newyorkfed.org/2022/03/drivers-of-inflation-the-new-york-fed-dsge-models-perspective/
Car Prices Drive Up Borrowing," Total household debt increased by $1.02 trillion in 2021, according to the latest Quarterly Report on Household Debt and Credit from the New York Fed’s Center for Microeconomic Data. Outstanding auto loan balances grew by $85 billion last year, with $734 billion in newly opened loans through the year—the largest volume the authors have seen in the Quarterly Report data. In this post, the authors take a closer look at newly opened auto loans, and how the price increases in auto loans have been borne by different groups.",https://libertystreeteconomics.newyorkfed.org/2022/02/car-prices-drive-up-borrowing/
"Applied Macroeconomics
and Econometrics Center", The mission of the Applied Macroeconomics and Econometrics Center (AMEC) is to provide intellectual leadership in the central banking community in the fields of macro and applied econometrics. Data Releases The New York Fed DSGE Model (Updated: Quarterly) Treasury Term Premia (Updated: Daily) Underlying Inflation Gauge (Updated: Monthly) Yield Curve as a Leading Indicator (Updated: Monthly) Weekly Economic Index (WEI) (Updated: Weekly) ,/research/amec
Center for Microeconomic Data, ,/microeconomics
Regional Employment Trends," These interactive charts track employment in state and metro regions in the Federal Reserve’s Second District, utilizing the New York Fed’s early benchmarks of payroll employment data. It updates monthly. ",/research/regional_economy/regional-employment#/interactive
Mapping Home Price Changes," Explore year-over-year changes in home prices since 2003, both regionally and nationally, using this dynamic map — updated with new home price index data on a monthly basis. Hover over a county for granular data. ",/research/home-price-index
Early Benchmarked Employment Data," Monthly releases of early benchmarked employment figures for New York State, New Jersey, Puerto Rico, and the U.S. Virgin Islands, as well as the metropolitan areas in New York and Northern New Jersey ",/research/regional_economy/early-benchmarked-employment
U.S. Economy in a Snapshot, U.S. Economy in a Snapshot is a monthly presentation designed to give you a quick and accessible look at developments in the economy. ,/research/snapshot
Oil Price Dynamics Report," Our oil price decomposition, reported weekly, examines what’s behind recent fluctuations in oil prices: demand factors, supply factors, or some combination of the two? ",/research/policy/oil_price_dynamics_report
